factor_id,factor_switch_score_pre40,factor_switch_score_pre20,mean_abs_Rdiff_pre40
f1185,49,28,7.0125
f1267,49,25,4.7
f1341,49,19,3.1125
f1383,49,17,2.625
f214,49,30,3.0625
f216,49,28,3.5625
f2183,49,15,1.975
f2268,49,14,4.4125
f2283,49,15,4.2375
f2541,49,17,2.7875
f256,49,21,3.6
f3252,49,26,5.3375
f4190,49,18,5.3375
f4194,49,20,6.4625
f4198,49,19,1.6125
f4358,49,22,5.1125
f5793,49,21,3.8125
f6786,49,25,4.1375
f6798,49,24,3.9375
f773,49,20,3.3125
f893,49,20,6.125
f910,49,22,2.45
f916,49,23,6.7125
f925,49,22,2.175
f1137,48,22,3.85
f1534,48,18,2.8
f1672,48,26,3.0
f2088,48,22,1.775
f2166,48,19,4.7375
f2230,48,18,0.0
f2288,48,18,4.225
f2338,48,30,2.825
f242,48,26,3.0875
f2442,48,28,3.075
f2537,48,21,1.825
f2549,48,18,1.2625
f2683,48,18,1.775
f287,48,27,3.275
f3036,48,20,5.8875
f3069,48,24,2.325
f3141,48,16,3.65
f3173,48,20,3.9125
f3349,48,14,4.5375
f3459,48,18,5.4375
f3769,48,27,3.95
f4160,48,18,3.5
f425,48,23,5.1625
f4276,48,21,3.8375
f4373,48,20,5.3625
f4384,48,22,1.875
f4495,48,20,4.2875
f4871,48,20,4.2875
f4994,48,20,3.6625
f5082,48,22,0.7875
f5183,48,17,4.35
f5584,48,23,2.1625
f5658,48,20,1.85
f5795,48,22,5.15
f5988,48,18,1.0
f620,48,22,3.3375
f6273,48,20,1.8625
f639,48,20,2.525
f6466,48,19,1.4125
f6670,48,19,5.4125
f6987,48,26,1.6875
f7083,48,16,3.4375
f7389,48,20,3.0125
f7688,48,20,4.3625
f8183,48,18,2.4125
f8398,48,16,4.5125
f858,48,19,6.1125
f8688,48,20,1.5
f8892,48,20,2.45
f8893,48,18,2.0
f931,48,19,2.9875
f1179,47,32,3.45
f1367,47,23,4.775
f142,47,25,5.525
f1494,47,26,3.975
f1740,47,26,1.0875
f1787,47,22,4.5125
f19,47,32,3.625
f2049,47,19,2.9125
f228,47,26,2.3375
f2391,47,24,4.725
f2432,47,24,4.3375
f2488,47,23,5.9625
f265,47,20,3.8375
f2763,47,21,3.6875
f2798,47,21,4.1875
f2868,47,19,6.6875
f3080,47,20,0.8625
