metric,algorithm_a,algorithm_b,n,mean_a,mean_b,mean_diff,t_stat,t_pvalue,wilcoxon_pvalue
anytime_cost,DMS_split_at_500,DMS_split_at_300,50,17781.9,17796.1,-14.2,-0.787447,0.434813,0.386851
anytime_cost,DMS_split_at_500,DMS_split_at_100,50,17781.9,17867.5,-85.54,-3.20838,0.00235483,0.00390279
anytime_cost,DMS_split_at_500,DMS_split_at_50,50,17781.9,17864.5,-82.6,-3.08757,0.00331816,0.00490352
anytime_cost,DMS_split_at_500,DMS_split_0.5,50,17781.9,17894.4,-112.46,-3.36343,0.00150145,0.00404395
anytime_cost,DMS_split_at_500,DMS_split_0.4_0.6,50,17781.9,17895.7,-113.76,-3.25099,0.0020831,0.0071581
anytime_cost,DMS_split_at_500,MS_split_0.5,50,17781.9,19310.4,-1528.48,-18.5531,8.38747e-24,1.77636e-15
anytime_cost,DMS_split_at_500,MS_split_MGM_200,50,17781.9,17701.1,80.88,2.57068,0.0132388,0.0212237
anytime_cost,DMS_split_at_500,MS_split_opt_200,50,17781.9,17663.8,118.12,3.91255,0.000281562,0.000573477
anytime_cost,DMS_split_at_500,Attentive,50,17781.9,16621.3,1160.66,31.6109,2.97209e-34,1.77636e-15
anytime_cost,DMS_split_at_500,MS,50,17781.9,18495.1,-713.148,-13.8831,1.31635e-18,8.88178e-15
anytime_cost,DMS_split_at_500,Attentive_NoSplit,50,17781.9,16584.4,1197.55,33.428,2.1643e-35,1.77636e-15
anytime_cost,DMS_split_at_300,DMS_split_at_100,50,17796.1,17867.5,-71.34,-3.00132,0.00422047,0.00778702
anytime_cost,DMS_split_at_300,DMS_split_at_50,50,17796.1,17864.5,-68.4,-2.71901,0.00903119,0.0157037
anytime_cost,DMS_split_at_300,DMS_split_0.5,50,17796.1,17894.4,-98.26,-2.60004,0.0122855,0.0251178
anytime_cost,DMS_split_at_300,DMS_split_0.4_0.6,50,17796.1,17895.7,-99.56,-2.98087,0.00446569,0.00996428
anytime_cost,DMS_split_at_300,MS_split_0.5,50,17796.1,19310.4,-1514.28,-18.3259,1.42369e-23,1.77636e-15
anytime_cost,DMS_split_at_300,MS_split_MGM_200,50,17796.1,17701.1,95.08,2.90992,0.00542371,0.00784437
anytime_cost,DMS_split_at_300,MS_split_opt_200,50,17796.1,17663.8,132.32,4.16487,0.000125829,0.000226402
anytime_cost,DMS_split_at_300,Attentive,50,17796.1,16621.3,1174.86,30.1285,2.79322e-33,1.77636e-15
anytime_cost,DMS_split_at_300,MS,50,17796.1,18495.1,-698.948,-13.042,1.4844e-17,2.4869e-14
anytime_cost,DMS_split_at_300,Attentive_NoSplit,50,17796.1,16584.4,1211.75,32.0117,1.64825e-34,1.77636e-15
anytime_cost,DMS_split_at_100,DMS_split_at_50,50,17867.5,17864.5,2.94,0.097347,0.922848,0.971103
anytime_cost,DMS_split_at_100,DMS_split_0.5,50,17867.5,17894.4,-26.92,-0.692434,0.491933,0.524044
anytime_cost,DMS_split_at_100,DMS_split_0.4_0.6,50,17867.5,17895.7,-28.22,-0.715388,0.477764,0.578629
anytime_cost,DMS_split_at_100,MS_split_0.5,50,17867.5,19310.4,-1442.94,-18.545,8.54562e-24,1.77636e-15
anytime_cost,DMS_split_at_100,MS_split_MGM_200,50,17867.5,17701.1,166.42,4.03884,0.000188628,0.000337881
anytime_cost,DMS_split_at_100,MS_split_opt_200,50,17867.5,17663.8,203.66,5.16011,4.45715e-06,5.0702e-06
anytime_cost,DMS_split_at_100,Attentive,50,17867.5,16621.3,1246.2,28.9069,1.90937e-32,1.77636e-15
anytime_cost,DMS_split_at_100,MS,50,17867.5,18495.1,-627.608,-11.9724,3.68009e-16,4.44089e-14
anytime_cost,DMS_split_at_100,Attentive_NoSplit,50,17867.5,16584.4,1283.09,29.9011,3.97334e-33,1.77636e-15
anytime_cost,DMS_split_at_50,DMS_split_0.5,50,17864.5,17894.4,-29.86,-0.830754,0.410143,0.367343
anytime_cost,DMS_split_at_50,DMS_split_0.4_0.6,50,17864.5,17895.7,-31.16,-1.07315,0.288463,0.388178
anytime_cost,DMS_split_at_50,MS_split_0.5,50,17864.5,19310.4,-1445.88,-17.449,1.15049e-22,1.77636e-15
anytime_cost,DMS_split_at_50,MS_split_MGM_200,50,17864.5,17701.1,163.48,5.22939,3.5066e-06,6.35862e-06
anytime_cost,DMS_split_at_50,MS_split_opt_200,50,17864.5,17663.8,200.72,6.8992,9.50423e-09,3.62327e-08
anytime_cost,DMS_split_at_50,Attentive,50,17864.5,16621.3,1243.26,31.2948,4.75366e-34,1.77636e-15
anytime_cost,DMS_split_at_50,MS,50,17864.5,18495.1,-630.548,-12.7185,3.85989e-17,4.44089e-14
anytime_cost,DMS_split_at_50,Attentive_NoSplit,50,17864.5,16584.4,1280.15,32.5069,8.03168e-35,1.77636e-15
anytime_cost,DMS_split_0.5,DMS_split_0.4_0.6,50,17894.4,17895.7,-1.3,-0.03794,0.96989,0.988095
anytime_cost,DMS_split_0.5,MS_split_0.5,50,17894.4,19310.4,-1416.02,-17.2017,2.1032e-22,1.77636e-15
anytime_cost,DMS_split_0.5,MS_split_MGM_200,50,17894.4,17701.1,193.34,4.99995,7.73746e-06,2.41472e-05
anytime_cost,DMS_split_0.5,MS_split_opt_200,50,17894.4,17663.8,230.58,6.28539,8.48645e-08,1.15832e-08
anytime_cost,DMS_split_0.5,Attentive,50,17894.4,16621.3,1273.12,33.6647,1.55342e-35,1.77636e-15
anytime_cost,DMS_split_0.5,MS,50,17894.4,18495.1,-600.688,-10.0991,1.44955e-13,2.30802e-11
anytime_cost,DMS_split_0.5,Attentive_NoSplit,50,17894.4,16584.4,1310.01,34.155,7.86909e-36,1.77636e-15
anytime_cost,DMS_split_0.4_0.6,MS_split_0.5,50,17895.7,19310.4,-1414.72,-16.5601,1.0361e-21,3.55271e-15
anytime_cost,DMS_split_0.4_0.6,MS_split_MGM_200,50,17895.7,17701.1,194.64,4.81816,1.43903e-05,2.97473e-05
anytime_cost,DMS_split_0.4_0.6,MS_split_opt_200,50,17895.7,17663.8,231.88,5.98466,2.47126e-07,1.61982e-07
anytime_cost,DMS_split_0.4_0.6,Attentive,50,17895.7,16621.3,1274.42,30.2029,2.49009e-33,1.77636e-15
anytime_cost,DMS_split_0.4_0.6,MS,50,17895.7,18495.1,-599.388,-10.2022,1.03145e-13,1.17275e-11
anytime_cost,DMS_split_0.4_0.6,Attentive_NoSplit,50,17895.7,16584.4,1311.31,32.2414,1.1794e-34,1.77636e-15
anytime_cost,MS_split_0.5,MS_split_MGM_200,50,19310.4,17701.1,1609.36,18.9751,3.17926e-24,1.77636e-15
anytime_cost,MS_split_0.5,MS_split_opt_200,50,19310.4,17663.8,1646.6,19.3555,1.34489e-24,1.77636e-15
anytime_cost,MS_split_0.5,Attentive,50,19310.4,16621.3,2689.14,34.8862,2.90179e-36,1.77636e-15
anytime_cost,MS_split_0.5,MS,50,19310.4,18495.1,815.332,9.55179,9.01993e-13,2.43361e-13
anytime_cost,MS_split_0.5,Attentive_NoSplit,50,19310.4,16584.4,2726.03,34.4984,4.91348e-36,1.77636e-15
anytime_cost,MS_split_MGM_200,MS_split_opt_200,50,17701.1,17663.8,37.24,6.26841,9.01555e-08,1.67956e-07
anytime_cost,MS_split_MGM_200,Attentive,50,17701.1,16621.3,1079.78,30.5588,1.44305e-33,1.77636e-15
anytime_cost,MS_split_MGM_200,MS,50,17701.1,18495.1,-794.028,-13.5058,3.86054e-18,5.86198e-14
anytime_cost,MS_split_MGM_200,Attentive_NoSplit,50,17701.1,16584.4,1116.67,31.7289,2.49669e-34,1.77636e-15
anytime_cost,MS_split_opt_200,Attentive,50,17663.8,16621.3,1042.54,29.9144,3.89193e-33,1.77636e-15
anytime_cost,MS_split_opt_200,MS,50,17663.8,18495.1,-831.268,-14.2722,4.42176e-19,2.4869e-14
anytime_cost,MS_split_opt_200,Attentive_NoSplit,50,17663.8,16584.4,1079.43,31.0269,7.10094e-34,1.77636e-15
