algorithm,seed,final_cost,anytime_cost
MS_split_opt_200,22,17463.000027,17463.000027
DMS_split_at_500,23,18072.000025,17938.000026
DMS,24,18207.000021,18150.000020
DMS_split_at_1000,23,18054.000028,17938.000026
DMS_split_0.5,24,18666.000023,18637.000023
DMS_split_at_50,24,18461.000021,18419.000021
DMS_split_0.4_0.6,24,18566.000023,18394.000023
DMS_split_at_1000,24,18412.000022,18307.000020
DMS_split_at_100,24,18407.000022,18361.000020
DMS_split_at_500,24,18481.000020,18324.000023
DMS_split_at_300,24,18367.000022,18324.000023
MS_split_0.5,23,20099.000028,19659.000025
MS_split_MGM_200,23,17490.000026,17490.000026
MS_split_opt_200,23,17383.000026,17383.000026
DMS,25,17924.000025,17730.000024
DMS_split_0.5,25,17732.000024,17615.000026
DMS_split_at_50,25,17924.000025,17848.000025
DMS_split_0.4_0.6,25,17963.000022,17963.000022
DMS_split_at_300,25,17972.000025,17730.000024
DMS_split_at_100,25,17750.000023,17730.000024
DMS_split_at_500,25,17673.000024,17673.000024
DMS_split_at_1000,25,17924.000025,17730.000024
MS_split_0.5,24,20716.000024,20025.000020
MS_split_MGM_200,24,17929.000026,17929.000026
MS_split_opt_200,24,17913.000025,17913.000025
DMS,26,18402.000026,18100.000025
DMS_split_0.5,26,18427.000026,18227.000026
DMS_split_0.4_0.6,26,18407.000023,18242.000023
DMS_split_at_50,26,18342.000022,18190.000022
DMS_split_at_100,26,17921.000028,17921.000028
DMS_split_at_300,26,18179.000024,18100.000025
DMS_split_at_1000,26,18402.000026,18100.000025
DMS_split_at_500,26,18480.000025,18100.000025
MS_split_0.5,25,19989.000024,19106.000021
MS_split_MGM_200,25,17604.000024,17604.000024
MS_split_opt_200,25,17551.000023,17551.000023
DMS,27,19486.000025,18225.000025
DMS_split_0.5,27,18482.000024,18429.000026
MS_split_0.5,26,19822.000025,19765.000026
MS_split_MGM_200,26,18192.000023,18192.000023
MS_split_opt_200,26,18120.000024,18120.000024
DMS_split_0.4_0.6,27,18970.000026,18556.000027
DMS_split_at_50,27,18669.000026,18488.000025
DMS_split_at_100,27,18813.000025,18488.000025
DMS_split_at_300,27,18505.000025,18488.000025
DMS_split_at_1000,27,18288.000021,18288.000021
DMS_split_at_500,27,18914.000027,18441.000024
DMS,28,18355.000025,18271.000023
DMS_split_0.5,28,18317.000024,18166.000023
DMS_split_0.4_0.6,28,18416.000024,18243.000024
DMS_split_at_300,28,18355.000025,18271.000023
DMS_split_at_50,28,18318.000024,18271.000023
DMS_split_at_500,28,18355.000025,18271.000023
DMS_split_at_100,28,18355.000025,18271.000023
DMS_split_at_1000,28,18355.000025,18271.000023
DMS,29,18769.000025,18579.000027
MS_split_0.5,28,19410.000024,19410.000024
MS_split_MGM_200,28,18081.000026,18081.000026
MS_split_opt_200,28,18069.000025,18069.000025
MS_split_0.5,27,20384.000026,20161.000026
MS_split_MGM_200,27,18058.000024,18058.000024
MS_split_opt_200,27,18058.000024,18058.000024
DMS_split_0.4_0.6,29,18947.000024,18865.000024
DMS_split_0.5,29,18739.000025,18593.000024
DMS_split_at_50,29,19004.000024,19004.000024
DMS_split_at_300,29,19261.000027,18717.000027
DMS_split_at_100,29,18909.000022,18909.000022
DMS_split_at_500,29,19204.000021,18717.000027
DMS_split_at_1000,29,18376.000027,18376.000027
DMS,30,19915.000023,18138.000024
MS_split_0.5,29,19509.000024,19495.000024
MS_split_MGM_200,29,18703.000024,18703.000024
MS_split_opt_200,29,18703.000024,18703.000024
DMS_split_at_50,30,18273.000024,18273.000024
DMS_split_0.5,30,18651.000025,18638.000027
DMS_split_0.4_0.6,30,18440.000026,18440.000026
DMS_split_at_100,30,19006.000027,18564.000025
DMS_split_at_300,30,18771.000025,18412.000027
DMS_split_at_1000,30,18054.000026,18054.000026
DMS_split_at_500,30,18469.000029,18245.000026
DMS,31,18367.000024,17476.000024
MS_split_0.5,30,20778.000026,19646.000026
MS_split_MGM_200,30,17743.000025,17743.000025
MS_split_opt_200,30,17743.000025,17743.000025
DMS_split_0.5,31,17717.000022,17711.000022
DMS_split_0.4_0.6,31,17807.000025,17633.000026
DMS_split_at_50,31,17705.000026,17705.000026
DMS_split_at_300,31,17795.000026,17682.000025
DMS_split_at_100,31,17492.000023,17492.000023
DMS_split_at_1000,31,17862.000029,17523.000023
DMS_split_at_500,31,17676.000022,17676.000022
DMS,32,17759.000024,17489.000024
DMS_split_0.4_0.6,32,17907.000025,17683.000023
DMS_split_0.5,32,18280.000022,18080.000021
DMS_split_at_50,32,17937.000023,17840.000022
DMS_split_at_500,32,17948.000024,17696.000025
DMS_split_at_300,32,17404.000024,17404.000024
DMS_split_at_100,32,17515.000026,17478.000025
DMS_split_at_1000,32,17832.000019,17489.000024
MS_split_0.5,31,20013.000024,19704.000024
MS_split_MGM_200,31,17671.000023,17671.000023
MS_split_opt_200,31,17612.000024,17612.000024
DMS,33,17060.000023,17060.000023
DMS_split_at_100,33,17743.000024,17734.000024
DMS_split_0.5,33,17471.000023,17471.000023
DMS_split_at_50,33,17821.000024,17821.000024
DMS_split_0.4_0.6,33,17886.000027,17777.000025
DMS_split_at_300,33,17748.000027,17480.000024
DMS_split_at_1000,33,17060.000023,17060.000023
DMS_split_at_500,33,17060.000023,17060.000023
DMS,34,18302.000026,18158.000025
MS_split_0.5,32,20563.000026,19760.000022
MS_split_MGM_200,32,17675.000024,17675.000024
MS_split_opt_200,32,17675.000024,17675.000024
DMS_split_0.5,34,18352.000024,18225.000023
DMS_split_0.4_0.6,34,18302.000026,18302.000026
DMS_split_at_50,34,17982.000025,17982.000025
DMS_split_at_300,34,18290.000024,18180.000025
DMS_split_at_100,34,18646.000025,18519.000023
DMS_split_at_500,34,18302.000026,18158.000025
DMS,35,18364.000027,17822.000025
DMS_split_at_1000,34,18302.000026,18158.000025
MS_split_0.5,33,20741.000025,20223.000026
MS_split_MGM_200,33,17344.000025,17344.000025
MS_split_opt_200,33,17340.000026,17340.000026
DMS_split_0.5,35,17832.000024,17832.000024
DMS_split_0.4_0.6,35,18245.000023,18050.000022
DMS_split_at_50,35,17917.000024,17917.000024
DMS_split_at_100,35,18010.000025,17884.000024
DMS_split_at_300,35,17982.000026,17884.000024
DMS_split_at_1000,35,17822.000025,17822.000025
DMS,36,17670.000023,17670.000023
DMS_split_at_500,35,17822.000025,17822.000025
MS_split_0.5,35,19225.000025,18594.000024
MS_split_MGM_200,35,17685.000024,17685.000024
MS_split_opt_200,35,17621.000027,17621.000027
DMS_split_0.5,36,17900.000026,17870.000027
DMS_split_0.4_0.6,36,17807.000026,17596.000026
DMS_split_at_50,36,17785.000026,17785.000026
DMS_split_at_100,36,17786.000025,17786.000025
DMS_split_at_500,36,18077.000024,17675.000026
DMS_split_at_300,36,17650.000026,17650.000026
DMS_split_at_1000,36,17670.000023,17670.000023
MS_split_0.5,34,20776.000024,19990.000024
MS_split_MGM_200,34,17578.000026,17578.000026
MS_split_opt_200,34,17578.000026,17578.000026
DMS,37,17920.000025,17381.000026
DMS_split_at_100,37,17527.000025,17527.000025
DMS_split_0.4_0.6,37,17366.000025,17331.000025
DMS_split_at_300,37,17667.000025,17429.000026
DMS_split_at_50,37,17527.000025,17357.000026
DMS_split_0.5,37,17663.000022,17663.000022
DMS_split_at_500,37,17939.000026,17429.000026
DMS_split_at_1000,37,18117.000023,17381.000026
DMS,38,17656.000027,17656.000027
MS_split_0.5,36,19619.000024,19554.000024
MS_split_MGM_200,36,18008.000023,18008.000023
MS_split_opt_200,36,17962.000024,17962.000024
MS_split_0.5,37,19288.000024,19179.000024
MS_split_MGM_200,37,17136.000024,17136.000024
MS_split_opt_200,37,17127.000024,17127.000024
DMS_split_0.5,38,18117.000024,18117.000024
DMS_split_at_50,38,17656.000027,17656.000027
DMS_split_0.4_0.6,38,18117.000024,18117.000024
DMS_split_at_100,38,17656.000027,17656.000027
DMS_split_at_300,38,17656.000027,17656.000027
DMS_split_at_1000,38,17656.000027,17656.000027
DMS_split_at_500,38,17656.000027,17656.000027
DMS,39,19308.000024,17779.000024
MS_split_0.5,38,18375.000025,18375.000025
MS_split_MGM_200,38,17594.000025,17594.000025
MS_split_opt_200,38,17594.000025,17594.000025
DMS_split_0.5,39,17758.000027,17758.000027
DMS_split_0.4_0.6,39,18042.000026,18042.000026
DMS_split_at_100,39,18117.000024,18117.000024
DMS_split_at_50,39,18147.000025,18147.000025
DMS_split_at_300,39,18279.000025,18063.000024
DMS_split_at_500,39,17927.000026,17880.000025
DMS_split_at_1000,39,18070.000025,17779.000024
DMS,40,18970.000025,17815.000024
DMS_split_0.5,40,17947.000023,17817.000024
DMS_split_0.4_0.6,40,18339.000024,18032.000025
DMS_split_at_50,40,18170.000025,18158.000025
DMS_split_at_500,40,17997.000029,17997.000029
DMS_split_at_300,40,18339.000024,18239.000026
DMS_split_at_100,40,18314.000023,18262.000023
DMS_split_at_1000,40,18217.000025,18121.000029
DMS,41,17673.000027,17631.000026
MS_split_0.5,40,20242.000025,19455.000028
MS_split_MGM_200,40,17888.000027,17888.000027
MS_split_opt_200,40,17834.000027,17834.000027
DMS_split_0.5,41,17731.000029,17731.000029
DMS_split_0.4_0.6,41,17703.000027,17559.000027
DMS_split_at_50,41,17978.000026,17738.000026
DMS_split_at_100,41,17911.000028,17911.000028
DMS_split_at_300,41,17910.000025,17773.000029
MS_split_0.5,39,20193.000028,20070.000027
MS_split_MGM_200,39,17773.000025,17773.000025
MS_split_opt_200,39,17748.000027,17748.000027
DMS_split_at_500,41,17948.000026,17710.000025
DMS,42,18117.000024,18067.000025
DMS_split_at_1000,41,17673.000027,17631.000026
