metric,algorithm_a,algorithm_b,n,mean_a,mean_b,mean_diff,t_stat,t_pvalue,wilcoxon_pvalue
anytime_cost,DMS_split_at_100,DMS_split_0.5,50,7.70001,7.90001,-0.2,-2.21359,0.0315431,0.101983
anytime_cost,DMS_split_at_100,DMS_split_at_50,50,7.70001,7.76001,-0.0599998,-0.621692,0.537027,0.593548
anytime_cost,DMS_split_at_100,DMS_split_0.4_0.6,50,7.70001,7.86001,-0.16,-1.73984,0.0881657,0.0384229
anytime_cost,DMS_split_at_100,MS_split_0.5,50,7.70001,45.36,-37.66,-32.3944,9.44861e-35,7.54668e-10
anytime_cost,DMS_split_at_100,MS_split_MGM_200,50,7.70001,20.98,-13.28,-22.4922,1.78011e-27,7.52453e-10
anytime_cost,DMS_split_at_100,MS_split_opt_200,50,7.70001,20.14,-12.44,-22.2433,2.92801e-27,7.51772e-10
anytime_cost,DMS_split_at_100,Attentive,50,7.70001,9.90001,-2.2,-2.19019,0.0332996,0.178425
anytime_cost,DMS_split_at_100,MS,50,7.70001,41.865,-34.165,-33.9754,1.00849e-35,1.77636e-15
anytime_cost,DMS_split_0.5,DMS_split_at_50,50,7.90001,7.76001,0.14,1.73133,0.0896856,0.0607183
anytime_cost,DMS_split_0.5,DMS_split_0.4_0.6,50,7.90001,7.86001,0.0399996,1.42886,0.15939,0.207757
anytime_cost,DMS_split_0.5,MS_split_0.5,50,7.90001,45.36,-37.46,-31.7782,2.32181e-34,7.5501e-10
anytime_cost,DMS_split_0.5,MS_split_MGM_200,50,7.90001,20.98,-13.08,-21.0088,3.70239e-26,7.54327e-10
anytime_cost,DMS_split_0.5,MS_split_opt_200,50,7.90001,20.14,-12.24,-20.8157,5.56629e-26,7.52963e-10
anytime_cost,DMS_split_0.5,Attentive,50,7.90001,9.90001,-2,-1.9467,0.0573154,0.53087
anytime_cost,DMS_split_0.5,MS,50,7.90001,41.865,-33.965,-33.435,2.14307e-35,1.77636e-15
anytime_cost,DMS_split_at_50,DMS_split_0.4_0.6,50,7.76001,7.86001,-0.1,-1.29987,0.199726,0.0203384
anytime_cost,DMS_split_at_50,MS_split_0.5,50,7.76001,45.36,-37.6,-32.0785,1.49514e-34,7.55351e-10
anytime_cost,DMS_split_at_50,MS_split_MGM_200,50,7.76001,20.98,-13.22,-21.7326,8.24569e-27,7.54156e-10
anytime_cost,DMS_split_at_50,MS_split_opt_200,50,7.76001,20.14,-12.38,-21.5872,1.11138e-26,7.53815e-10
anytime_cost,DMS_split_at_50,Attentive,50,7.76001,9.90001,-2.14,-2.09025,0.0418066,0.646698
anytime_cost,DMS_split_at_50,MS,50,7.76001,41.865,-34.105,-33.9316,1.07158e-35,1.77636e-15
anytime_cost,DMS_split_0.4_0.6,MS_split_0.5,50,7.86001,45.36,-37.5,-31.9056,1.92541e-34,1.77636e-15
anytime_cost,DMS_split_0.4_0.6,MS_split_MGM_200,50,7.86001,20.98,-13.12,-21.3722,1.73276e-26,7.53815e-10
anytime_cost,DMS_split_0.4_0.6,MS_split_opt_200,50,7.86001,20.14,-12.28,-21.2512,2.22876e-26,7.51262e-10
anytime_cost,DMS_split_0.4_0.6,Attentive,50,7.86001,9.90001,-2.04,-1.96973,0.0545355,0.329336
anytime_cost,DMS_split_0.4_0.6,MS,50,7.86001,41.865,-34.005,-33.633,1.62377e-35,1.77636e-15
anytime_cost,MS_split_0.5,MS_split_MGM_200,50,45.36,20.98,24.38,23.355,3.28438e-28,7.5501e-10
anytime_cost,MS_split_0.5,MS_split_opt_200,50,45.36,20.14,25.22,24.6023,3.12309e-29,7.54839e-10
anytime_cost,MS_split_0.5,Attentive,50,45.36,9.90001,35.46,23.243,4.07764e-28,7.55351e-10
anytime_cost,MS_split_0.5,MS,50,45.36,41.865,3.49504,4.67455,2.33843e-05,0.000103814
anytime_cost,MS_split_MGM_200,MS_split_opt_200,50,20.98,20.14,0.84,5.5207,1.26972e-06,2.58499e-05
anytime_cost,MS_split_MGM_200,Attentive,50,20.98,9.90001,11.08,8.94432,7.13819e-12,6.45614e-07
anytime_cost,MS_split_MGM_200,MS,50,20.98,41.865,-20.885,-20.817,5.55209e-26,1.77636e-15
anytime_cost,MS_split_opt_200,Attentive,50,20.14,9.90001,10.24,8.41593,4.4487e-11,1.56167e-06
anytime_cost,MS_split_opt_200,MS,50,20.14,41.865,-21.725,-22.1332,3.65378e-27,1.77636e-15
anytime_cost,Attentive,MS,50,9.90001,41.865,-31.965,-23.7256,1.61454e-28,1.77636e-15
