metric,algorithm_a,algorithm_b,n,mean_a,mean_b,mean_diff,t_stat,t_pvalue,wilcoxon_pvalue
final_cost,DMS_split_0.5,MS_split_0.5,50,101571,107330,-5759.06,-18.5321,8.80563e-24,3.55271e-15
final_cost,DMS_split_0.5,MS_split_MGM_200,50,101571,101562,9.52,0.0986313,0.921833,0.5399
final_cost,DMS_split_0.5,MS_split_opt_200,50,101571,101562,9.52,0.0986313,0.921833,0.5399
final_cost,DMS_split_0.5,Attentive,50,101571,99223.7,2347.42,27.3227,2.57974e-31,1.77636e-15
final_cost,DMS_split_0.5,DMS_split_at_1500,50,101571,101433,138.209,1.3835,0.172781,0.187684
final_cost,DMS_split_0.5,MS,50,101571,108077,-6505.41,-37.8236,6.34927e-38,1.77636e-15
final_cost,MS_split_0.5,MS_split_MGM_200,50,107330,101562,5768.58,21.9057,5.79196e-27,1.77636e-15
final_cost,MS_split_0.5,MS_split_opt_200,50,107330,101562,5768.58,21.9057,5.79196e-27,1.77636e-15
final_cost,MS_split_0.5,Attentive,50,107330,99223.7,8106.48,26.7209,7.18282e-31,1.77636e-15
final_cost,MS_split_0.5,DMS_split_at_1500,50,107330,101433,5897.27,17.7322,5.81025e-23,8.88178e-15
final_cost,MS_split_0.5,MS,50,107330,108077,-746.346,-2.25778,0.0284491,0.0620713
final_cost,MS_split_MGM_200,MS_split_opt_200,50,101562,101562,0,,,1
final_cost,MS_split_MGM_200,Attentive,50,101562,99223.7,2337.9,32.3608,9.91934e-35,1.77636e-15
final_cost,MS_split_MGM_200,DMS_split_at_1500,50,101562,101433,128.689,1.20687,0.233277,0.304481
final_cost,MS_split_MGM_200,MS,50,101562,108077,-6514.93,-42.7166,1.94423e-40,1.77636e-15
final_cost,MS_split_opt_200,Attentive,50,101562,99223.7,2337.9,32.3608,9.91934e-35,1.77636e-15
final_cost,MS_split_opt_200,DMS_split_at_1500,50,101562,101433,128.689,1.20687,0.233277,0.304481
final_cost,MS_split_opt_200,MS,50,101562,108077,-6514.93,-42.7166,1.94423e-40,1.77636e-15
final_cost,Attentive,DMS_split_at_1500,50,99223.7,101433,-2209.21,-27.334,2.53106e-31,1.77636e-15
final_cost,Attentive,MS,50,99223.7,108077,-8852.83,-61.7681,3.83573e-48,1.77636e-15
final_cost,DMS_split_at_1500,MS,50,101433,108077,-6643.62,-39.2278,1.12544e-38,1.77636e-15
anytime_cost,DMS,DMS_split_at_1000,50,100865,100931,-65.74,-2.47853,0.016684,0.0110079
anytime_cost,DMS,DMS_split_at_500,50,100865,101091,-225.68,-4.74544,1.84111e-05,4.42194e-05
anytime_cost,DMS,DMS_split_at_300,50,100865,101195,-329.76,-6.29805,8.11239e-08,1.22769e-06
anytime_cost,DMS,DMS_split_at_100,50,100865,101360,-494.92,-6.9486,7.96854e-09,1.94095e-07
anytime_cost,DMS,DMS_split_at_50,50,100865,101394,-528.5,-7.8011,3.85283e-10,1.13125e-07
anytime_cost,DMS,DMS_split_0.4_0.6,50,100865,101453,-587.54,-6.90773,9.21915e-09,3.8124e-07
anytime_cost,DMS,DMS_split_0.5,50,100865,101463,-597.9,-7.85118,3.22833e-10,3.88198e-10
anytime_cost,DMS,MS_split_0.5,50,100865,105969,-5104.06,-21.8154,6.96152e-27,3.55271e-15
anytime_cost,DMS,MS_split_MGM_200,50,100865,101561,-695.34,-8.85689,9.64433e-12,2.30802e-11
anytime_cost,DMS,MS_split_opt_200,50,100865,101561,-695.34,-8.85689,9.64433e-12,2.30802e-11
anytime_cost,DMS,Attentive,50,100865,99144.2,1720.98,33.9101,1.10401e-35,1.77636e-15
anytime_cost,DMS,DMS_split_at_1500,50,100865,100923,-58.1712,-0.970888,0.336372,0.118485
anytime_cost,DMS,MS,50,100865,104563,-3697.47,-33.5551,1.81094e-35,1.77636e-15
anytime_cost,DMS_split_at_1000,DMS_split_at_500,50,100931,101091,-159.94,-4.11944,0.000145683,0.000128889
anytime_cost,DMS_split_at_1000,DMS_split_at_300,50,100931,101195,-264.02,-5.65027,8.05502e-07,5.9883e-06
anytime_cost,DMS_split_at_1000,DMS_split_at_100,50,100931,101360,-429.18,-6.38159,6.02404e-08,4.90856e-07
anytime_cost,DMS_split_at_1000,DMS_split_at_50,50,100931,101394,-462.76,-6.96889,7.41226e-09,2.58668e-07
anytime_cost,DMS_split_at_1000,DMS_split_0.4_0.6,50,100931,101453,-521.8,-6.49341,4.04345e-08,1.36937e-06
anytime_cost,DMS_split_at_1000,DMS_split_0.5,50,100931,101463,-532.16,-6.64169,2.38228e-08,3.62327e-08
anytime_cost,DMS_split_at_1000,MS_split_0.5,50,100931,105969,-5038.32,-21.2631,2.17424e-26,3.55271e-15
anytime_cost,DMS_split_at_1000,MS_split_MGM_200,50,100931,101561,-629.6,-7.74283,4.73398e-10,8.85528e-10
anytime_cost,DMS_split_at_1000,MS_split_opt_200,50,100931,101561,-629.6,-7.74283,4.73398e-10,8.85528e-10
anytime_cost,DMS_split_at_1000,Attentive,50,100931,99144.2,1786.72,31.2718,4.91973e-34,1.77636e-15
anytime_cost,DMS_split_at_1000,DMS_split_at_1500,50,100931,100923,7.56878,0.131883,0.895617,0.426296
anytime_cost,DMS_split_at_1000,MS,50,100931,104563,-3631.73,-33.4525,2.09119e-35,1.77636e-15
anytime_cost,DMS_split_at_500,DMS_split_at_300,50,101091,101195,-104.08,-2.80906,0.00711776,0.0132751
anytime_cost,DMS_split_at_500,DMS_split_at_100,50,101091,101360,-269.24,-4.41892,5.4849e-05,7.86393e-05
anytime_cost,DMS_split_at_500,DMS_split_at_50,50,101091,101394,-302.82,-4.63654,2.65701e-05,9.18628e-05
anytime_cost,DMS_split_at_500,DMS_split_0.4_0.6,50,101091,101453,-361.86,-4.27303,8.85553e-05,0.000211085
anytime_cost,DMS_split_at_500,DMS_split_0.5,50,101091,101463,-372.22,-4.96148,8.82782e-06,1.16456e-05
anytime_cost,DMS_split_at_500,MS_split_0.5,50,101091,105969,-4878.38,-20.6735,7.53087e-26,3.55271e-15
anytime_cost,DMS_split_at_500,MS_split_MGM_200,50,101091,101561,-469.66,-5.55555,1.12363e-06,5.21565e-07
anytime_cost,DMS_split_at_500,MS_split_opt_200,50,101091,101561,-469.66,-5.55555,1.12363e-06,5.21565e-07
anytime_cost,DMS_split_at_500,Attentive,50,101091,99144.2,1946.66,33.0248,3.82669e-35,1.77636e-15
anytime_cost,DMS_split_at_500,DMS_split_at_1500,50,101091,100923,167.509,2.85655,0.00626688,0.00996428
anytime_cost,DMS_split_at_500,MS,50,101091,104563,-3471.79,-31.2605,5.00355e-34,1.77636e-15
anytime_cost,DMS_split_at_300,DMS_split_at_100,50,101195,101360,-165.16,-3.76698,0.000443776,0.000571568
anytime_cost,DMS_split_at_300,DMS_split_at_50,50,101195,101394,-198.74,-3.36644,0.00148824,0.00180233
anytime_cost,DMS_split_at_300,DMS_split_0.4_0.6,50,101195,101453,-257.78,-3.09113,0.00328513,0.00495245
anytime_cost,DMS_split_at_300,DMS_split_0.5,50,101195,101463,-268.14,-3.48894,0.00103501,0.000914937
anytime_cost,DMS_split_at_300,MS_split_0.5,50,101195,105969,-4774.3,-21.0921,3.1085e-26,3.55271e-15
