period,freeze,final_commit,cost_x,cost_y,cost2_half,flip,edges_class0,cost_class0,edges_class1,cost_class1,edges_class2,cost_class2,x_is_br_of_y,y_is_br_of_x,single_moves_x,single_moves_y,greedy_from_x,cost_greedy_class2,t_commit99,br_steps,cost2_increases,family,density,seed,alg,edges
1,62,0.7522123893805309,12961.281529039106,12961.281529039106,12961.281529039106,0.0,1.0,114.6991150442478,0.0,,0.0,,1.0,1.0,0,0,12961.281529039106,,1000,,-1,random,0.1,4,DMS_split,113
2,1000,0.8369565217391305,19682.258815523895,19533.243666297,16367.25124091045,0.82,0.0507246376811594,115.14285714285714,0.2028985507246377,122.89285714285714,0.7463768115942029,149.85436893203882,1.0,1.0,41,41,16519.236012004585,120.41747572815534,1000,,-1,random,0.1,5,MS_split,138
1,20,0.782608695652174,16423.240595535874,16423.240595535874,16423.240595535874,0.0,1.0,119.0072463768116,0.0,,0.0,,1.0,1.0,0,0,16423.240595535874,,1000,,-1,random,0.1,5,DMS_split,138
2,1000,0.7072072072072072,15370.286041696643,15345.23920934652,12940.262625521582,0.68,0.1441441441441441,109.625,0.2432432432432432,118.11111111111111,0.6126126126126126,153.33823529411765,1.0,1.0,34,34,13207.221796046788,122.75,1000,,-1,random,0.1,6,MS_split,111
1,22,0.6306306306306306,12975.272978557718,12975.272978557718,12975.272978557718,0.0,1.0,116.89189189189187,0.0,,0.0,,1.0,1.0,0,0,12975.272978557718,,1000,,-1,random,0.1,6,DMS_split,111
2,1000,0.7637795275590551,18165.21314753149,18161.252742178927,15030.232944855208,0.84,0.0472440944881889,111.16666666666669,0.1811023622047244,116.0,0.7716535433070866,151.3265306122449,1.0,1.0,42,42,15107.227326945202,120.0204081632653,1000,,-1,random,0.1,7,MS_split,127
1,24,0.8110236220472441,15047.231065534545,15047.231065534545,15047.231065534545,0.0,1.0,118.48031496062993,0.0,,0.0,,1.0,1.0,0,0,15047.231065534545,,1000,,-1,random,0.1,7,DMS_split,127
2,1000,0.7047244094488189,16970.240922861776,16841.252163474135,15078.246543167956,0.6,0.1496062992125984,110.52631578947368,0.4251968503937008,121.92592592592592,0.4251968503937008,153.44444444444446,1.0,1.0,30,30,15183.258471579082,123.16666666666669,1000,,-1,random,0.1,8,MS_split,127
1,59,0.7755905511811023,14977.264668074837,14977.264668074837,14977.264668074837,0.0,1.0,117.92913385826772,0.0,,0.0,,1.0,1.0,0,0,14977.264668074837,,1000,,-1,random,0.1,8,DMS_split,127
2,1000,0.6201923076923077,14201.233393760052,14512.25471804642,12215.244055903237,0.7,0.1634615384615384,112.41176470588236,0.2692307692307692,120.92857142857144,0.5673076923076923,150.91525423728814,1.0,1.0,35,35,12448.228505685252,119.28813559322032,1000,,-1,random,0.1,9,MS_split,104
1,311,0.7163461538461539,12098.261715047594,12098.261715047594,12098.261715047594,0.0,1.0,116.32692307692308,0.0,,0.0,,1.0,1.0,0,0,12098.261715047594,,1000,,-1,random,0.1,9,DMS_split,104
2,1000,0.6870229007633588,17905.22707511194,17345.232834253115,15643.229954682529,0.66,0.1297709923664122,112.11764705882354,0.3816793893129771,126.26,0.4885496183206106,151.34375,1.0,1.0,33,33,15898.223833067474,122.4375,1000,,-1,random,0.1,10,MS_split,131
1,50,0.7900763358778626,15582.241799262369,15582.241799262369,15582.241799262369,0.0,1.0,118.9465648854962,0.0,,0.0,,1.0,1.0,0,0,15582.241799262369,,1000,,-1,random,0.1,10,DMS_split,131
2,1000,0.7364341085271318,18632.264104466736,18291.247251948593,15333.755678207664,0.84,0.0387596899224806,120.4,0.2713178294573643,120.22857142857144,0.689922480620155,155.3033707865169,1.0,1.0,42,42,15428.242106862856,118.08988764044943,1000,,-1,random,0.1,11,MS_split,129
1,77,0.7364341085271318,15430.296146616713,15430.296146616713,15430.296146616713,0.0,1.0,119.6124031007752,0.0,,0.0,,1.0,1.0,0,0,15430.296146616713,,1000,,-1,random,0.1,11,DMS_split,129
2,1000,0.8074074074074075,17405.255311243287,17243.257007464093,15986.256159353688,0.48,0.4074074074074074,115.72727272727272,0.3333333333333333,120.31111111111112,0.2592592592592592,160.74285714285713,1.0,1.0,24,24,16049.259371354949,118.54285714285714,1000,,-1,random,0.1,12,MS_split,135
1,68,0.8481481481481481,15941.26771955111,15941.26771955111,15941.26771955111,0.0,1.0,118.08148148148148,0.0,,0.0,,1.0,1.0,0,0,15941.26771955111,,1000,,-1,random,0.1,12,DMS_split,135
2,1000,0.7461538461538462,18807.234693750168,18483.225860016013,15403.23027688309,0.9,0.0076923076923076,104.0,0.1538461538461538,118.7,0.8384615384615385,149.80733944954127,1.0,1.0,45,45,15720.238158289643,121.61467889908256,1000,,-1,random,0.1,13,MS_split,130
1,220,0.8307692307692308,15333.218825237098,15333.218825237098,15333.218825237098,0.0,1.0,117.94615384615383,0.0,,0.0,,1.0,1.0,0,0,15333.218825237098,,1000,,-1,random,0.1,13,DMS_split,130
2,1000,0.7943548387096774,16714.256629914722,16339.22484467992,14673.24073729732,0.6,0.2177419354838709,114.48148148148148,0.3629032258064516,119.73333333333332,0.4193548387096774,158.3653846153846,1.0,1.0,30,30,14714.238049034684,120.78846153846152,1000,,-1,random,0.1,14,MS_split,124
1,267,0.7903225806451613,14624.247102111069,14624.247102111069,14624.247102111069,0.0,1.0,117.93548387096774,0.0,,0.0,,1.0,1.0,0,0,14624.247102111069,,1000,,-1,random,0.1,14,DMS_split,124
2,1000,0.7236842105263158,14530.25798519946,14410.25155127725,13306.754768238356,0.42,0.4385964912280701,112.48,0.2719298245614035,119.35483870967742,0.2894736842105263,157.75757575757575,1.0,1.0,21,21,13459.255312966636,125.75757575757576,1000,,-1,random,0.1,15,MS_split,114
1,68,0.75,13323.270220660248,13323.270220660248,13323.270220660248,0.0,1.0,116.86842105263158,0.0,,0.0,,1.0,1.0,0,0,13323.270220660248,,1000,,-1,random,0.1,15,DMS_split,114
2,1000,0.7669172932330827,18744.262406485825,19223.272913893736,15930.76766018978,0.8,0.0676691729323308,112.11111111111111,0.2556390977443609,116.55882352941175,0.6766917293233082,153.0222222222222,1.0,1.0,40,40,16113.256343643578,121.86666666666666,1000,,-1,random,0.1,16,MS_split,133
1,63,0.8383458646616542,15726.232099606495,15726.232099606495,15726.232099606495,0.0,1.0,118.2406015037594,0.0,,0.0,,1.0,1.0,0,0,15726.232099606495,,1000,,-1,random,0.1,16,DMS_split,133
2,1000,0.7247706422018348,14117.249063235678,14399.26133157073,12704.755197403205,0.6,0.1926605504587156,110.61904761904762,0.3302752293577982,119.27777777777776,0.4770642201834862,144.23076923076923,1.0,1.0,30,30,12930.246019193524,122.84615384615384,1000,,-1,random,0.1,17,MS_split,109
1,85,0.7201834862385321,12593.259312819648,12593.259312819648,12593.259312819648,0.0,1.0,115.53211009174312,0.0,,0.0,,1.0,1.0,0,0,12593.259312819648,,1000,,-1,random,0.1,17,DMS_split,109
2,1000,0.8023255813953488,18101.249543826107,18058.246774099363,15139.748158962731,0.8,0.1085271317829457,112.57142857142856,0.2170542635658914,122.71428571428572,0.6744186046511628,150.44827586206895,1.0,1.0,40,40,15397.263648493685,121.86206896551724,1000,,-1,random,0.1,18,MS_split,129
1,54,0.751937984496124,15299.262615885253,15299.262615885253,15299.262615885253,0.0,1.0,118.5968992248062,0.0,,0.0,,1.0,1.0,0,0,15299.262615885253,,1000,,-1,random,0.1,18,DMS_split,129
2,1000,0.7456896551724138,15910.230898160007,16198.235033497118,13604.732965828563,0.7,0.0948275862068965,110.9090909090909,0.3017241379310345,118.11428571428571,0.603448275862069,150.8,1.0,1.0,35,35,13781.232818784603,118.87142857142857,1000,,-1,random,0.1,19,MS_split,116
1,82,0.7456896551724138,13585.249655279327,13585.249655279327,13585.249655279327,0.0,1.0,117.11206896551724,0.0,,0.0,,1.0,1.0,0,0,13585.249655279327,,1000,,-1,random,0.1,19,DMS_split,116
