bench,seed,p,freeze,t95,final_commit,final,best,period
random_dense,8,0.99,1237,2000,0.9272237196765498,100103.23610011881,100046.25176991796,1
random_dense,8,1.0,2000,2000,0.2756064690026954,106085.26263951644,100046.25176991796,0
random_dense,9,0.5,89,2000,0.9263513513513514,100422.23672296468,100422.23672296468,1
random_dense,9,0.55,53,2000,0.897972972972973,100532.23460960458,100532.23460960458,1
random_dense,9,0.6,34,2000,0.9331081081081081,100510.23199135259,100510.23199135259,1
random_dense,9,0.7,174,199,0.9570945945945946,100348.23864055063,100348.23864055063,1
random_dense,9,0.8,83,2000,0.8547297297297297,100592.20105670819,100592.20105670819,1
random_dense,9,0.9,129,144,0.9554054054054054,99927.22693887426,99927.22693887426,1
random_dense,9,0.95,54,2000,0.9152027027027027,99820.23053103988,99820.23053103988,1
random_dense,9,0.99,878,2000,0.9060810810810811,100262.25346920695,99699.2296306755,1
random_dense,9,1.0,1086,2000,0.7905405405405406,99570.24658051772,99570.24658051772,1
random_dense,10,0.5,147,2000,0.9484181568088033,98049.23303644436,98049.23303644436,1
random_dense,10,0.55,147,2000,0.9477303988995873,98049.23303644436,98049.23303644436,1
random_dense,10,0.6,107,2000,0.9460110041265475,98049.23303644436,98049.23303644436,1
random_dense,10,0.7,30,40,0.9422283356258597,97994.23284474916,97994.23284474916,1
random_dense,10,0.8,28,2000,0.936726272352132,97994.23284474916,97994.23284474916,1
random_dense,10,0.9,26,2000,0.9236588720770289,97994.23284474916,97994.23284474916,1
random_dense,10,0.95,27,2000,0.9119669876203577,97994.23284474916,97994.23284474916,1
random_dense,10,0.99,35,2000,0.8710453920220083,97994.23284474916,97994.23284474916,1
random_dense,10,1.0,786,2000,0.844566712517194,98132.25690721553,97994.23284474916,1
random_dense,11,0.5,71,2000,0.9382716049382716,99304.26001578406,99304.26001578406,1
random_dense,11,0.55,70,2000,0.9386145404663924,99304.26001578406,99304.26001578406,1
random_dense,11,0.6,64,2000,0.9379286694101509,99304.26001578406,99304.26001578406,1
random_dense,11,0.7,219,258,0.9543895747599451,98962.24824833445,98962.24824833445,1
random_dense,11,0.8,62,86,0.9550754458161865,99230.23457597394,99230.23457597394,1
random_dense,11,0.9,289,2000,0.9444444444444444,98511.22957027864,98511.22957027864,1
random_dense,11,0.95,90,2000,0.9344993141289437,98619.26752109213,98619.26752109213,1
random_dense,11,0.99,284,2000,0.9207818930041153,98492.24553199095,98492.24553199095,1
random_dense,11,1.0,697,2000,0.9156378600823045,98370.21103760872,98370.21103760872,1
random_dense,12,0.5,87,2000,0.9404432132963989,97984.24901337658,97984.24901337658,1
random_dense,12,0.55,117,120,0.9681440443213296,97775.2677101801,97775.2677101801,1
random_dense,12,0.6,113,117,0.9691828254847645,97775.2677101801,97775.2677101801,1
random_dense,12,0.7,210,216,0.9816481994459834,97542.270406358,97542.270406358,1
random_dense,12,0.8,56,2000,0.9269390581717452,97882.25421626611,97882.25421626611,1
random_dense,12,0.9,53,100,0.9529085872576177,97656.23825604262,97656.23825604262,1
random_dense,12,0.95,360,393,0.9598337950138505,97524.22684475292,97495.25055937376,1
random_dense,12,0.99,98,2000,0.9400969529085873,97206.24313591156,97206.24313591156,1
random_dense,12,1.0,79,2000,0.8725761772853186,97206.24313591156,97206.24313591156,1
random_dense,13,0.5,24,41,0.944078947368421,103676.23050128583,103676.23050128583,1
random_dense,13,0.55,24,2000,0.9411184210526315,103676.23050128583,103676.23050128583,1
random_dense,13,0.6,22,2000,0.937171052631579,103676.23050128583,103676.23050128583,1
random_dense,13,0.7,34,50,0.96875,103573.23938253442,103573.23938253442,1
random_dense,13,0.8,38,2000,0.9279605263157895,103527.22418856123,103527.22418856123,1
random_dense,13,0.9,118,2000,0.9447368421052632,102690.25564203206,102690.25564203206,1
random_dense,13,0.95,248,2000,0.9263157894736842,102626.2619123054,102626.2619123054,1
random_dense,13,0.99,229,2000,0.9131578947368421,102470.23735551312,102470.23735551312,1
random_dense,13,1.0,118,2000,0.8717105263157895,102546.23195852152,102546.23195852152,1
random_dense,14,0.5,37,63,0.9689973614775725,103442.23227619524,103442.23227619524,1
random_dense,14,0.55,32,41,0.9564643799472295,103442.24690162309,103442.24690162309,1
random_dense,14,0.6,27,35,0.9508575197889182,103442.24690162309,103442.24690162309,1
random_dense,14,0.7,105,2000,0.9277704485488126,103213.23019516196,103213.23019516196,1
random_dense,14,0.8,151,2000,0.9244722955145118,103191.23378030976,103191.23378030976,1
random_dense,14,0.9,196,231,0.9604221635883905,102861.26357788159,102861.26357788159,1
random_dense,14,0.95,183,234,0.9551451187335093,102838.22875219025,102838.22875219025,1
random_dense,14,0.99,420,2000,0.9027044854881267,102415.24757509337,102415.24757509337,1
random_dense,14,1.0,1999,2000,0.7196569920844327,103150.243366122,102695.2434455768,0
random_dense,15,0.5,142,2000,0.9382801664355063,97949.21751690791,97949.21751690791,1
random_dense,15,0.55,173,2000,0.9361997226074896,97716.2300742118,97716.2300742118,1
random_dense,15,0.6,89,2000,0.9361997226074896,97716.2300742118,97716.2300742118,1
random_dense,15,0.7,79,94,0.957004160887656,97658.23515623674,97658.23515623674,1
random_dense,15,0.8,71,77,0.9604715672676838,97671.24437876097,97671.24437876097,1
random_dense,15,0.9,153,2000,0.9060332871012483,97677.24322220554,97677.24322220554,1
random_dense,15,0.95,583,2000,0.9424410540915396,97539.26366679904,97539.26366679904,1
random_dense,15,0.99,724,732,0.9549237170596394,96892.256856755,96892.256856755,1
random_dense,15,1.0,387,2000,0.90499306518724,96892.256856755,96892.256856755,1
random_dense,16,0.5,32,2000,0.943089430894309,100582.25314099694,100582.25314099694,1
random_dense,16,0.55,32,2000,0.9420731707317073,100582.25314099694,100582.25314099694,1
random_dense,16,0.6,53,64,0.9512195121951219,100047.26001887418,100047.26001887418,1
random_dense,16,0.7,60,69,0.9532520325203252,100193.27050848973,100193.27050848973,1
random_dense,16,0.8,106,2000,0.931910569105691,99822.25488767217,99822.25488767217,1
random_dense,16,0.9,92,2000,0.9397018970189702,99841.2766000161,99841.2766000161,1
random_dense,16,0.95,630,2000,0.9200542005420054,99743.26044394907,99743.26044394907,1
random_dense,16,0.99,1600,2000,0.9474932249322493,99787.24146313236,99759.28113308795,1
random_dense,16,1.0,451,2000,0.8699186991869918,99592.23350671465,99592.23350671465,1
random_dense,17,0.5,56,2000,0.9240422721268163,102714.19903615939,102714.19903615939,1
random_dense,17,0.55,51,2000,0.9256935270805813,102714.19903615939,102714.19903615939,1
random_dense,17,0.6,86,2000,0.9356010568031704,102546.21947174247,102546.21947174247,1
random_dense,17,0.7,35,2000,0.9180977542932629,102714.19903615939,102714.19903615939,1
random_dense,17,0.8,26,2000,0.9009247027741083,102714.19903615939,102714.19903615939,1
random_dense,17,0.9,64,2000,0.9187582562747688,102466.22480496726,102466.22480496726,1
random_dense,17,0.95,220,2000,0.9204095112285336,102253.24773110713,102253.24773110713,1
random_dense,17,0.99,2000,2000,0.7031043593130779,106124.23739328289,102240.23156939242,0
random_dense,17,1.0,745,2000,0.8797886393659181,102273.24952140743,102273.24952140743,1
