algorithm,seed,final_cost,anytime_cost
DMS_split_at_300,15,70229.286586,69581.283325
DMS_split_at_1000,15,70229.286586,69581.283325
DMS_split_at_50,15,70296.238962,70296.238962
DMS,17,74246.260665,69911.239439
DMS_split_at_50,16,67907.269791,67564.203443
DMS_split_at_1000,16,67944.230724,67176.255681
DMS_split_0.5,16,67744.226916,67104.227157
DMS_split_at_500,16,67559.237871,67176.255681
DMS_split_at_100,16,68536.242407,67564.203443
DMS_split_at_300,16,67418.261417,67176.255681
DMS_split_0.4_0.6,16,67238.287870,67238.287870
MS,18,75647.226849,72987.247257
MS_split_0.5,12,72919.266801,71337.245423
MS_split_MGM_200,12,69754.249386,69754.249386
MS_split_opt_200,12,69754.249386,69754.249386
DMS,18,73211.249175,70314.190359
DMS_split_at_50,17,71660.216408,70882.213657
DMS_split_at_1000,17,70999.261135,69911.239439
DMS_split_at_500,17,70721.253522,69911.239439
MS,19,78932.266033,77253.260444
MS_split_0.5,13,74529.250920,72023.243932
MS_split_MGM_200,13,69488.200724,69488.200724
MS_split_opt_200,13,69488.200724,69488.200724
DMS_split_0.4_0.6,17,69906.233797,69774.234302
DMS_split_0.5,17,71664.233773,71192.230084
DMS_split_at_300,17,71001.241699,69911.239439
DMS_split_at_100,17,70888.234346,70369.247052
DMS,19,74312.268289,73719.276600
DMS_split_0.5,18,70738.264434,70367.270261
DMS_split_at_1000,18,69744.241524,69701.239248
MS,20,71525.243839,68547.234699
MS_split_0.5,14,74776.256258,71570.233025
MS_split_MGM_200,14,69359.238120,69359.238120
MS_split_opt_200,14,69359.238120,69359.238120
DMS_split_at_500,18,70289.256756,70126.275010
DMS_split_at_300,18,70006.255217,69856.256400
DMS_split_0.4_0.6,18,69590.252923,69427.249017
DMS_split_at_100,18,69839.239099,69839.239099
DMS_split_at_50,18,70107.282684,70027.291755
DMS,20,65542.279836,65190.256901
DMS_split_0.5,19,74361.279619,74218.270564
MS,21,70667.246132,69091.235447
DMS_split_at_1000,19,74312.268289,73719.276600
DMS_split_at_100,19,74034.261807,73812.261509
DMS_split_0.4_0.6,19,73979.234747,73575.255031
DMS_split_at_50,19,74035.246453,74035.246453
DMS_split_at_500,19,74595.265403,73416.255791
DMS,21,70296.221053,65056.207769
DMS_split_at_300,19,74819.282889,73719.276600
DMS_split_0.4_0.6,20,65554.232932,65523.225826
DMS_split_at_50,20,66287.252961,65804.254185
DMS_split_0.5,20,65191.233014,64884.228457
DMS_split_at_100,20,65902.252751,65495.251895
DMS_split_at_1000,20,66767.267761,65495.251895
MS_split_0.5,15,76232.272446,74011.241474
MS_split_MGM_200,15,71659.246426,71659.246426
MS_split_opt_200,15,71659.246426,71659.246426
DMS_split_at_300,20,65829.255290,64849.244483
DMS_split_at_500,20,66471.240506,65495.251895
MS,22,77027.228788,74834.284457
MS_split_0.5,16,73316.247161,70398.275700
MS_split_MGM_200,16,67985.265472,67985.265472
MS_split_opt_200,16,67985.265472,67985.265472
DMS,22,74692.266880,70711.256073
DMS_split_0.5,21,65770.247108,65748.250093
DMS_split_at_100,21,65922.274499,65911.269226
DMS_split_0.4_0.6,21,66717.246727,66308.251246
DMS_split_at_1000,21,66038.229081,65056.207769
MS,23,73519.252513,69752.263292
DMS_split_at_50,21,66595.259433,66182.262856
DMS_split_at_500,21,66045.226946,66012.214928
DMS,23,72345.255734,66348.272500
DMS_split_at_300,21,66246.230194,66246.230194
MS_split_0.5,17,74893.223888,73678.254396
MS_split_MGM_200,17,71135.222016,71135.222016
MS_split_opt_200,17,71135.222016,71135.222016
DMS_split_at_1000,22,72040.246259,70711.256073
DMS_split_0.5,22,71205.277632,70714.277629
MS,24,71771.256825,69563.238995
DMS_split_0.4_0.6,22,71501.244715,71449.256170
DMS_split_at_100,22,71290.255145,71290.255145
DMS_split_at_300,22,72473.286389,72132.228804
MS_split_0.5,18,75806.250753,72859.239287
MS_split_MGM_200,18,70717.234332,70717.234332
MS_split_opt_200,18,70717.234332,70717.234332
DMS_split_at_50,22,71786.265416,70896.280071
DMS_split_at_500,22,71648.282201,71538.286284
DMS,24,69834.215325,65935.245179
DMS_split_0.5,23,66961.259879,66961.259879
DMS_split_at_1000,23,67184.255240,66348.272500
DMS_split_0.4_0.6,23,67107.269307,67107.269307
DMS_split_at_50,23,67624.270801,67624.270801
MS,25,74871.240630,73392.260480
DMS_split_at_500,23,66284.266565,66020.276522
DMS_split_at_300,23,67321.224092,67075.279697
DMS_split_at_100,23,66739.203228,66181.205045
MS_split_0.5,19,79378.245401,77241.289445
MS_split_MGM_200,19,74889.250165,74889.250165
MS_split_opt_200,19,74889.250165,74889.250165
DMS,25,70498.235749,69553.253572
DMS_split_0.4_0.6,24,66719.286439,66296.282570
DMS_split_0.5,24,67263.252452,66892.263262
DMS_split_at_100,24,66887.240360,66887.240360
DMS_split_at_1000,24,67701.248101,65978.237687
DMS_split_at_50,24,66469.273334,66122.266695
MS_split_0.5,20,71066.252758,68602.251651
MS_split_MGM_200,20,66563.245869,66563.245869
MS_split_opt_200,20,66563.245869,66563.245869
DMS_split_at_500,24,65859.250488,65581.254448
MS,26,82330.246027,78565.258042
DMS_split_at_300,24,66819.251374,66079.263119
DMS,26,79075.227276,75088.270013
DMS_split_0.4_0.6,25,70415.250689,70328.253808
DMS_split_0.5,25,70598.246866,70598.246866
MS,27,78768.262352,76719.257721
DMS_split_at_1000,25,69970.228701,69553.253572
MS_split_0.5,21,71948.227031,69349.213751
MS_split_MGM_200,21,66701.250658,66701.250658
MS_split_opt_200,21,66701.250658,66701.250658
DMS_split_at_100,25,70863.232505,70247.261201
DMS_split_at_50,25,70325.280824,70247.261201
DMS_split_at_500,25,70293.264628,69948.246850
DMS_split_at_300,25,70836.243456,70247.261201
DMS,27,78889.234814,73233.261540
DMS_split_at_1000,26,75956.255746,75207.272741
DMS_split_0.5,26,75060.260312,74697.253895
DMS_split_at_50,26,75833.253535,75683.252086
DMS_split_0.4_0.6,26,74829.244574,74127.235487
MS,28,76338.250723,74255.244798
DMS_split_at_300,26,75692.254005,75601.247645
DMS_split_at_500,26,76253.250962,75430.251500
MS_split_0.5,22,78491.253841,75000.255410
MS_split_MGM_200,22,72833.245627,72833.245627
MS_split_opt_200,22,72833.245627,72833.245627
DMS_split_at_100,26,76834.235374,76201.231219
DMS,28,69814.228488,69747.223626
DMS_split_0.4_0.6,27,73555.254916,73555.254916
DMS_split_at_50,27,74157.228268,74017.228098
MS_split_0.5,23,72810.275325,70106.208779
MS_split_MGM_200,23,67260.255544,67260.255544
MS_split_opt_200,23,67260.255544,67260.255544
DMS_split_0.5,27,73646.209116,73415.214679
MS,29,75493.218511,73614.266961
DMS_split_at_1000,27,73546.260874,73233.261540
DMS_split_at_500,27,74645.250003,73307.231602
DMS_split_at_300,27,73547.261442,73391.263312
DMS_split_at_100,27,74613.252440,73625.243945
DMS,29,76778.204741,70887.273568
DMS_split_0.4_0.6,28,70813.262895,69881.233312
DMS_split_at_100,28,70634.258719,70634.258719
DMS_split_at_1000,28,69814.228488,69747.223626
DMS_split_at_50,28,71700.231545,70460.205136
MS,30,69156.250279,66817.208630
DMS_split_0.5,28,70539.222614,70124.228052
MS_split_0.5,24,71049.252949,69749.216545
MS_split_MGM_200,24,66769.267137,66769.267137
MS_split_opt_200,24,66769.267137,66769.267137
DMS_split_at_500,28,71774.242212,70941.244540
DMS_split_at_300,28,71140.276057,70660.284843
DMS,30,63752.269503,63297.231693
DMS_split_0.5,29,71314.232497,71063.252103
MS,31,73590.254456,70979.273465
DMS_split_at_1000,29,71677.273676,71073.230101
DMS_split_0.4_0.6,29,71127.258064,71127.258064
DMS_split_at_300,29,71310.287898,70521.292397
DMS_split_at_50,29,71600.247916,71527.255409
DMS_split_at_500,29,71424.301298,70104.303026
MS_split_0.5,25,76270.222237,73297.236405
MS_split_MGM_200,25,71312.222122,71312.222122
MS_split_opt_200,25,71312.222122,71312.222122
DMS,31,70601.267391,66950.251747
DMS_split_at_100,29,70798.278416,70798.278416
DMS_split_at_1000,30,64334.272100,63297.231693
DMS_split_at_100,30,64037.253993,63863.238405
DMS_split_0.4_0.6,30,63601.220637,63578.224747
DMS_split_at_50,30,64907.262511,63750.278550
DMS_split_0.5,30,63972.239396,63554.235181
DMS_split_at_500,30,64080.255589,63883.233008
DMS_split_at_300,30,64117.240480,63635.226467
MS,32,73842.237265,70742.235370
MS_split_0.5,26,81594.262267,78523.225787
MS_split_MGM_200,26,76043.231453,76043.231453
MS_split_opt_200,26,76043.231453,76043.231453
DMS,32,72797.265085,67209.249482
DMS_split_0.5,31,68240.234603,67859.242691
DMS_split_at_1000,31,68247.249162,67134.279981
DMS_split_at_50,31,68858.245672,68620.256176
MS,33,71880.232867,69747.224443
DMS_split_at_500,31,67723.257443,67134.279981
DMS_split_0.4_0.6,31,68276.290988,67206.265062
DMS_split_at_300,31,68010.250790,67134.279981
DMS_split_at_100,31,67159.277301,67134.279981
DMS,33,70838.235368,65673.244848
MS_split_0.5,27,78457.254446,77117.236336
MS_split_MGM_200,27,74022.258778,74022.258778
MS_split_opt_200,27,74022.258778,74022.258778
DMS_split_at_1000,32,67859.256324,67426.237890
DMS_split_0.5,32,67957.258021,67957.258021
DMS_split_0.4_0.6,32,68292.283092,68218.288314
DMS_split_at_500,32,67756.228485,67426.237890
DMS_split_at_300,32,68666.228558,67722.233310
MS,34,72830.203872,69942.242655
