metric,algorithm_a,algorithm_b,n,mean_a,mean_b,mean_diff,t_stat,t_pvalue,wilcoxon_pvalue
anytime_cost,MS,DMS_split_at_1000,50,11391.4,10215.1,1176.26,38.0905,4.54938e-38,1.77636e-15
anytime_cost,MS,MS_split_0.5,50,11391.4,11377.7,13.7406,0.758105,0.452019,0.437568
anytime_cost,MS,MS_split_MGM_200,50,11391.4,10589.8,801.563,35.3541,1.54785e-36,1.77636e-15
anytime_cost,MS,MS_split_opt_200,50,11391.4,10474.9,916.445,46.1805,4.66631e-42,1.77636e-15
anytime_cost,MS,DMS_split_at_500,50,11391.4,10288.3,1103.12,38.141,4.27205e-38,1.77636e-15
anytime_cost,MS,DMS_split_at_300,50,11391.4,10280.5,1110.86,35.8386,8.14023e-37,1.77636e-15
anytime_cost,MS,DMS_split_at_50,50,11391.4,10320.1,1071.32,34.1696,7.7125e-36,1.77636e-15
anytime_cost,MS,DMS_split_at_100,50,11391.4,10348.3,1043.12,33.5057,1.94069e-35,1.77636e-15
anytime_cost,MS,DMS_split_0.4_0.6,50,11391.4,10239.2,1152.14,40.3024,3.11281e-39,1.77636e-15
anytime_cost,MS,DMS_split_0.5,50,11391.4,10329.3,1062.06,33.7704,1.34058e-35,1.77636e-15
anytime_cost,MS,MS_split_MGM_inverted_200,50,11391.4,11550.4,-158.974,-6.65725,2.25361e-08,1.75749e-08
anytime_cost,DMS,DMS_split_at_1000,50,10204,10215.1,-11.0964,-0.401904,0.689503,0.80342
anytime_cost,DMS,MS_split_0.5,50,10204,11377.7,-1173.62,-39.8243,5.4921e-39,1.77636e-15
anytime_cost,DMS,MS_split_MGM_200,50,10204,10589.8,-385.797,-12.7305,3.7236e-17,5.86198e-14
anytime_cost,DMS,MS_split_opt_200,50,10204,10474.9,-270.915,-9.48999,1.11121e-12,2.63061e-11
anytime_cost,DMS,DMS_split_at_500,50,10204,10288.3,-84.2363,-3.54145,0.000884108,0.00134315
anytime_cost,DMS,DMS_split_at_300,50,10204,10280.5,-76.4979,-2.68311,0.00991819,0.016299
anytime_cost,DMS,DMS_split_at_50,50,10204,10320.1,-116.039,-4.14389,0.000134646,0.000185858
anytime_cost,DMS,DMS_split_at_100,50,10204,10348.3,-144.236,-5.02762,7.03632e-06,2.52359e-05
anytime_cost,DMS,DMS_split_0.4_0.6,50,10204,10239.2,-35.2151,-1.21342,0.230786,0.15714
anytime_cost,DMS,DMS_split_0.5,50,10204,10329.3,-125.299,-3.98661,0.000222758,0.000185858
anytime_cost,DMS,MS_split_MGM_inverted_200,50,10204,11550.4,-1346.33,-47.1925,1.65062e-42,1.77636e-15
anytime_cost,DMS_split_at_1000,MS_split_0.5,50,10215.1,11377.7,-1162.52,-36.8333,2.23102e-37,1.77636e-15
anytime_cost,DMS_split_at_1000,MS_split_MGM_200,50,10215.1,10589.8,-374.7,-11.6744,9.2381e-16,1.95399e-13
anytime_cost,DMS_split_at_1000,MS_split_opt_200,50,10215.1,10474.9,-259.818,-8.80459,1.15504e-11,1.02069e-10
anytime_cost,DMS_split_at_1000,DMS_split_at_500,50,10215.1,10288.3,-73.14,-2.52868,0.0147198,0.0202522
anytime_cost,DMS_split_at_1000,DMS_split_at_300,50,10215.1,10280.5,-65.4016,-2.06338,0.0443946,0.098776
anytime_cost,DMS_split_at_1000,DMS_split_at_50,50,10215.1,10320.1,-104.943,-3.34461,0.00158666,0.00171544
anytime_cost,DMS_split_at_1000,DMS_split_at_100,50,10215.1,10348.3,-133.14,-4.63424,2.67766e-05,5.37457e-05
anytime_cost,DMS_split_at_1000,DMS_split_0.4_0.6,50,10215.1,10239.2,-24.1187,-0.728513,0.469767,0.632173
anytime_cost,DMS_split_at_1000,DMS_split_0.5,50,10215.1,10329.3,-114.203,-3.86069,0.000331388,0.000251529
anytime_cost,DMS_split_at_1000,MS_split_MGM_inverted_200,50,10215.1,11550.4,-1335.24,-37.276,1.26726e-37,1.77636e-15
anytime_cost,MS_split_0.5,MS_split_MGM_200,50,11377.7,10589.8,787.823,31.6977,2.61405e-34,1.77636e-15
anytime_cost,MS_split_0.5,MS_split_opt_200,50,11377.7,10474.9,902.705,39.2396,1.10954e-38,1.77636e-15
anytime_cost,MS_split_0.5,DMS_split_at_500,50,11377.7,10288.3,1089.38,37.3781,1.11321e-37,1.77636e-15
anytime_cost,MS_split_0.5,DMS_split_at_300,50,11377.7,10280.5,1097.12,33.1296,3.29765e-35,1.77636e-15
anytime_cost,MS_split_0.5,DMS_split_at_50,50,11377.7,10320.1,1057.58,32.6311,6.71609e-35,1.77636e-15
anytime_cost,MS_split_0.5,DMS_split_at_100,50,11377.7,10348.3,1029.38,33.5121,1.92342e-35,1.77636e-15
anytime_cost,MS_split_0.5,DMS_split_0.4_0.6,50,11377.7,10239.2,1138.4,36.7609,2.44868e-37,1.77636e-15
